server_config,arrival_pattern,target_rate_rps,success_count,error_count,mean_prompt_tokens,mean_output_tokens,arrival_window_s,run_wall_s,realized_submit_rate_rps,achieved_request_rate_rps,output_throughput_tok_s,ttft_p50_ms,ttft_p95_ms,tpot_p50_ms,tpot_p95_ms,e2e_p50_ms,e2e_p95_ms,slo_ttft_ms,slo_tpot_ms,slo_pass_count,slo_attainment_pct,goodput_request_rps,goodput_output_tok_s,client_lag_p95_ms,queue_mean,queue_p95,queue_max,running_max,kv_usage_max,preemptions,max_num_seqs,gpu_mem_util,chunked_prefill
baseline,poisson,4.0,48.0,0.0,1262.6666666666665,95.0,11.75,14.711875543929636,4.000005864781648,3.29320092558656,311.2686593696087,535.5840045958757,1271.4385115541518,33.618844594168124,64.72758393398072,3318.459835834801,8723.539071111007,1000.0,100.0,36.5,76.04166666666667,2.560355465370921,237.87446600592182,1.7115711700171228,0.1776373147340889,1.0,2.0,25.0,0.14247311827956985,0.0,64.0,0.9,True
baseline,poisson,6.0,48.0,0.0,1262.6666666666665,95.0,7.833333333333333,12.946408543735743,5.999985153905643,3.7544073406517815,354.5724860487029,1083.647940773517,2141.507341666147,60.80164023775358,179.12175398700498,6610.701537691057,9989.422991266474,1000.0,100.0,16.0,33.333333333333336,1.3300770377962052,144.90969535324427,1.3757383916527033,1.154004329004329,5.799999999999997,6.5,43.5,0.2246888969433369,0.0,64.0,0.9,True
memory50,bursty,0.5,48.0,0.0,1262.6666666666665,95.0,94.0,97.48983473610133,0.49999037213126796,0.4924199776733652,46.752505268958146,1040.7299888320267,1716.417614929378,14.747721343084823,33.84462030491464,2292.412337847054,4428.815844096243,1000.0,100.0,20.5,42.708333333333336,0.21116038452752767,21.403941296540243,4.308568965643644,0.09373469802854101,0.0,5.0,8.0,0.14995579133510165,0.0,64.0,0.5,True
memory50,bursty,1.0,48.0,0.0,1262.6666666666665,95.0,47.0,50.49199088383466,0.9999587184146317,0.951111766157511,90.25035996732896,1023.378930054605,1627.0125509705392,15.494165721044698,40.251951089702985,2274.9852165579796,4417.426497396082,1000.0,100.0,24.5,51.04166666666667,0.48655973290992327,44.611029567453045,3.69433700107038,0.2295728963551822,1.5,5.0,8.0,0.14995579133510165,0.0,64.0,0.5,True
memory50,bursty,2.0,48.0,0.0,1262.6666666666665,95.0,23.5,26.99161863513291,1.9997749504665643,1.7812658108740063,168.85866523322127,1021.5080585330725,1766.75219158642,16.257262910137758,37.529373221519975,2291.186137124896,5139.296736428514,1000.0,100.0,22.0,45.833333333333336,0.8209333316482028,80.70250518631372,3.703451668843627,0.45003462375519354,4.5,5.0,9.0,0.15145888594164456,0.0,64.0,0.5,True
memory50,bursty,3.0,48.0,0.0,1262.6666666666665,95.0,15.666666666666666,19.205679757520556,2.999497020673123,2.508023139029743,237.5209748485697,1036.3438026979566,1731.4874256495386,16.76775135325923,31.712712343956497,2310.4687621816993,5871.771613694727,1000.0,100.0,18.5,38.541666666666664,0.9897971481444618,109.17919702493967,3.4585400950163603,0.7021016617790811,4.5,6.0,11.0,0.22387267904509278,0.0,64.0,0.5,True
memory50,bursty,4.0,48.0,0.0,1262.6666666666665,95.0,11.75,15.615157334133983,3.9992894882392975,3.088239285501335,292.3318891756978,1109.1322731226683,1740.8550489693878,28.963148397048343,43.37696928272946,3069.197854027152,8221.021439461034,1000.0,100.0,19.0,39.583333333333336,1.2443206119053003,128.4878981582651,3.4286979120224714,1.015799302177011,5.5,6.0,17.5,0.3169761273209548,0.0,64.0,0.5,True
memory50,bursty,6.0,48.0,0.0,1262.6666666666665,95.0,7.833333333333333,12.985517414286733,5.998259733849549,3.724173197948952,352.1891534783066,1082.9974221996963,1879.3005434796214,57.584947743473464,137.44774491252463,6063.852868042886,9906.801523733884,1000.0,100.0,15.5,32.291666666666664,1.293008238555983,133.63130600874652,3.8847983349114656,1.2433326221463623,5.799999999999997,6.0,39.5,0.5889478337754199,0.0,64.0,0.5,True
memory50,poisson,0.5,48.0,0.0,1262.6666666666665,95.0,94.0,94.57241062633693,0.5000044333245693,0.5075500114547827,48.222783145892855,170.89467821642756,579.1153155732898,11.928323938463762,15.211032820611678,1120.2258775010703,3466.084189899265,1000.0,100.0,48.0,100.0,0.5075500114547827,48.222783145892855,1.1517800390720365,0.0,0.0,0.0,4.0,0.0958443854995579,0.0,64.0,0.5,True
memory50,poisson,1.0,48.0,0.0,1262.6666666666665,95.0,47.0,47.56754464004189,0.999997269907217,1.0091099324076063,95.8870686832095,178.19329909980297,819.2639726214109,12.764323439832474,22.775469205439453,1413.2783962413669,3896.9457952771327,1000.0,100.0,46.5,96.875,0.9774400901168252,91.83332886998954,1.4735479839146135,0.0,0.0,0.0,6.0,0.14288240495137045,0.0,64.0,0.5,True
