server_config,arrival_pattern,target_rate_rps,repeat,sample_offset_s,running,waiting,kv_usage,preemptions
baseline,poisson,0.5,0,15.391823817044497,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,15.501334048807621,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,15.608671763911843,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,15.718325339257717,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,15.82789352349937,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,15.935392888262868,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,16.044849403202534,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,16.15426948480308,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,16.26366992853582,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,16.37305986136198,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,16.48260286450386,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,16.5889845341444,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,16.696373092010617,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,16.805884627625346,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,16.915437661111355,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,17.024948125705123,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,17.13243094459176,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,17.24220127053559,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,17.35151388309896,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,17.459127882495522,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,17.568551536649466,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,17.67609778419137,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,17.78556933067739,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,17.892849186435342,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,18.002411982044578,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,18.111934328451753,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,18.221473133191466,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,18.328839100897312,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,18.436327569186687,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,18.545872325077653,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,18.653356604278088,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,18.762885220348835,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,18.870400181040168,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,18.97778979688883,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,19.087953897193074,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,19.195444647222757,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,19.304967813193798,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,19.41243284009397,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,19.52182661741972,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,19.6296691801399,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,19.737086538225412,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,19.846502052620053,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,19.95306079648435,1.0,0.0,0.007792678506705286,0.0
baseline,poisson,0.5,0,20.06386505998671,2.0,0.0,0.008336353751359216,0.0
baseline,poisson,0.5,0,20.172754142433405,2.0,0.0,0.008396762111876233,0.0
baseline,poisson,0.5,0,20.2831311840564,1.0,0.0,0.0006040836051709464,0.0
baseline,poisson,0.5,0,20.39361442811787,1.0,0.0,0.0006644919656880743,0.0
baseline,poisson,0.5,0,20.50475182943046,1.0,0.0,0.0006644919656880743,0.0
baseline,poisson,0.5,0,20.615762857720256,1.0,0.0,0.0007249003262052023,0.0
baseline,poisson,0.5,0,20.725758977234364,1.0,0.0,0.0007249003262052023,0.0
baseline,poisson,0.5,0,20.836174560710788,1.0,0.0,0.0007853086867222192,0.0
baseline,poisson,0.5,0,20.946229360997677,1.0,0.0,0.0008457170472393472,0.0
baseline,poisson,0.5,0,21.057318521663547,1.0,0.0,0.0008457170472393472,0.0
baseline,poisson,0.5,0,21.167171820998192,1.0,0.0,0.0009061254077564751,0.0
baseline,poisson,0.5,0,21.27650646492839,1.0,0.0,0.000966533768273492,0.0
baseline,poisson,0.5,0,21.38676404953003,2.0,0.0,0.0015102090129274215,0.0
baseline,poisson,0.5,0,21.496705628931522,3.0,0.0,0.0035036849099915335,0.0
baseline,poisson,0.5,0,21.60657249763608,2.0,0.0,0.0025975595022350584,0.0
baseline,poisson,0.5,0,21.714438753202558,2.0,0.0,0.0026579678627521863,0.0
baseline,poisson,0.5,0,21.823582796379924,2.0,0.0,0.0027183762232693143,0.0
baseline,poisson,0.5,0,21.933584997430444,2.0,0.0,0.0027787845837864422,0.0
baseline,poisson,0.5,0,22.04338590428233,2.0,0.0,0.002899601304820587,0.0
baseline,poisson,0.5,0,22.15413030050695,1.0,0.0,0.002174700978615496,0.0
baseline,poisson,0.5,0,22.262226168066263,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,22.37152537330985,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,22.47989104129374,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,22.58950087800622,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,22.698902456089854,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,22.808265652507544,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,22.91552961245179,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,23.02490709722042,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,23.134395884349942,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,23.241737015545368,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,23.352094588801265,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,23.461507834494114,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,23.571941390633583,1.0,0.0,0.007792678506705286,0.0
baseline,poisson,0.5,0,23.67897240817547,1.0,0.0,0.007853086867222414,0.0
baseline,poisson,0.5,0,23.78968021646142,1.0,0.0,0.007853086867222414,0.0
baseline,poisson,0.5,0,23.897421080619097,1.0,0.0,0.0005436752446538184,0.0
baseline,poisson,0.5,0,24.00723140127957,1.0,0.0,0.0005436752446538184,0.0
baseline,poisson,0.5,0,24.11854452267289,1.0,0.0,0.0006040836051709464,0.0
baseline,poisson,0.5,0,24.22707878239453,1.0,0.0,0.0006644919656880743,0.0
baseline,poisson,0.5,0,24.337401876226068,1.0,0.0,0.0006644919656880743,0.0
baseline,poisson,0.5,0,24.447175616398454,1.0,0.0,0.0007249003262052023,0.0
baseline,poisson,0.5,0,24.556585473939776,1.0,0.0,0.0007853086867222192,0.0
baseline,poisson,0.5,0,24.666021052747965,1.0,0.0,0.0007853086867222192,0.0
baseline,poisson,0.5,0,24.77541778050363,1.0,0.0,0.0008457170472393472,0.0
baseline,poisson,0.5,0,24.885381372645497,1.0,0.0,0.0009061254077564751,0.0
baseline,poisson,0.5,0,24.993438869714737,1.0,0.0,0.0009061254077564751,0.0
baseline,poisson,0.5,0,25.104647113010287,1.0,0.0,0.000966533768273492,0.0
baseline,poisson,0.5,0,25.21442655287683,2.0,0.0,0.002960009665337715,0.0
baseline,poisson,0.5,0,25.32462591677904,1.0,0.0,0.001993475897064112,0.0
baseline,poisson,0.5,0,25.434668289497495,1.0,0.0,0.00205388425758124,0.0
baseline,poisson,0.5,0,25.546518737450242,1.0,0.0,0.00205388425758124,0.0
baseline,poisson,0.5,0,25.6561804972589,1.0,0.0,0.002114292618098368,0.0
baseline,poisson,0.5,0,25.763534169644117,1.0,0.0,0.002174700978615496,0.0
baseline,poisson,0.5,0,25.872568713501096,1.0,0.0,0.002174700978615496,0.0
baseline,poisson,0.5,0,25.982484184205532,1.0,0.0,0.0022351093391325128,0.0
baseline,poisson,0.5,0,26.09391064941883,1.0,0.0,0.0022955176996496407,0.0
baseline,poisson,0.5,0,26.201613103970885,1.0,0.0,0.0022955176996496407,0.0
baseline,poisson,0.5,0,26.313106648623943,1.0,0.0,0.0023559260601667686,0.0
baseline,poisson,0.5,0,26.42314461246133,1.0,0.0,0.0023559260601667686,0.0
baseline,poisson,0.5,0,26.53127336129546,1.0,0.0,0.0024163344206837856,0.0
baseline,poisson,0.5,0,26.64159211702645,1.0,0.0,0.0024767427812009135,0.0
baseline,poisson,0.5,0,26.75157468020916,1.0,0.0,0.0024767427812009135,0.0
baseline,poisson,0.5,0,26.861410221084952,1.0,0.0,0.0025371511417180415,0.0
baseline,poisson,0.5,0,26.971435936167836,1.0,0.0,0.0025975595022350584,0.0
baseline,poisson,0.5,0,27.080194668844342,1.0,0.0,0.0025975595022350584,0.0
baseline,poisson,0.5,0,27.190651884302497,1.0,0.0,0.0026579678627521863,0.0
