server_config,arrival_pattern,target_rate_rps,repeat,request_count,success_count,error_count,mean_prompt_tokens,mean_output_tokens,arrival_window_s,run_wall_s,realized_submit_rate_rps,achieved_request_rate_rps,output_throughput_tok_s,ttft_p50_ms,ttft_p95_ms,tpot_p50_ms,tpot_p95_ms,e2e_p50_ms,e2e_p95_ms,slo_ttft_ms,slo_tpot_ms,slo_pass_count,slo_attainment_pct,goodput_request_rps,goodput_output_tok_s,client_lag_p95_ms,queue_mean,queue_p95,queue_max,running_max,kv_usage_max,preemptions,max_num_seqs,gpu_mem_util,chunked_prefill,model,gpu_name,vllm_version,torch_version,timestamp
baseline,bursty,0.5,0,48,48,0,1493.3333333333333,100.0,94.0,98.59721563383937,0.4999837108269851,0.4868291633940017,48.682916339400165,1226.4781827107072,1722.974061127752,16.103297250256652,39.01288728747103,2554.5593118295074,4804.882304742932,1000.0,100.0,14,29.166666666666668,0.1419918393232505,14.280322126224048,3.535453323274851,0.12527716186252771,0.0,5.0,8.0,0.05219282348677057,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:33:03+00:00
baseline,bursty,0.5,1,48,48,0,1032.0,90.0,94.0,96.38032464124262,0.49998966143344487,0.4980269591192066,44.822426320728596,848.701192997396,1624.4113159365947,13.134901884884115,29.373838076548225,2025.4649510607123,4055.427748616785,1000.0,100.0,30,62.5,0.3112668494495041,27.88950971067557,4.374581482261419,0.03850509626274066,0.0,4.0,8.0,0.05025975595022347,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:34:40+00:00
baseline,bursty,1.0,0,48,48,0,1493.3333333333333,100.0,47.0,51.569134782999754,0.9999514668164695,0.9307893219845846,93.07893219845846,1273.255699314177,1768.515484780073,16.55627415314609,39.57111881344869,2520.871704444289,4783.408616390079,1000.0,100.0,21,43.75,0.4072203283682558,52.12420203113674,3.139275684952736,0.3135593220338983,3.0,5.0,8.0,0.05219282348677057,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:35:33+00:00
baseline,bursty,1.0,1,48,48,0,1032.0,90.0,47.0,49.398219814524055,0.9999437241762082,0.9716949351662071,87.45254416495864,768.2705903425813,1709.916915372014,13.484900264206168,29.890102382388804,2044.1369777545333,4064.1024321317673,1000.0,100.0,30,62.5,0.6073093344788795,57.00610286308415,3.5252311266958714,0.17035398230088494,0.0,5.0,8.0,0.05025975595022347,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:36:24+00:00
baseline,bursty,2.0,0,48,48,0,1493.3333333333333,100.0,23.5,28.097359627485275,1.9997879328346468,1.708345575398681,170.8345575398681,1233.4439363330603,1819.0485469065607,15.994420762843607,36.00096330637969,2526.5938509255648,6241.237198002636,1000.0,100.0,13,27.083333333333332,0.4626769266704761,48.972573161428855,3.6379901692271233,0.7431906614785992,5.0,6.0,9.0,0.05219282348677057,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:36:53+00:00
baseline,bursty,2.0,1,48,48,0,1032.0,90.0,23.5,25.911237932741642,1.9998139400114998,1.8524780685737452,166.72302617163706,889.9368094280362,1729.5192289166152,13.5295957687401,24.542738903786926,2073.2742277905345,4077.0687298849225,1000.0,100.0,26,54.166666666666664,1.0034256204774454,97.56384494488391,3.607746586203575,0.13559322033898305,0.0,4.0,9.0,0.051226289718497076,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:37:20+00:00
baseline,bursty,3.0,0,48,48,0,1493.3333333333333,100.0,15.666666666666666,20.354943364858627,2.999521128559655,2.3581495236615893,235.81495236615893,1241.6292019188404,1839.4002402201295,19.992831769207164,36.38630878600863,2543.072189204395,7421.458658017216,1000.0,100.0,21,43.75,1.0316904166019454,124.1958749128437,4.087433405220509,0.7795698924731183,5.0,5.0,12.0,0.09423704240666908,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:37:41+00:00
baseline,bursty,3.0,1,48,48,0,1032.0,90.0,15.666666666666666,18.081876495853066,2.9996119863839104,2.6545917405756208,238.91325665180588,844.0578784793615,1626.4250185340638,13.660827947277872,34.43558173300865,2080.2773470059037,5216.290964558721,1000.0,100.0,27,56.25,1.4932078540737868,120.34149223942815,3.3623389899730682,0.5696969696969697,4.0,5.0,10.0,0.058958559864685234,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:38:00+00:00
baseline,bursty,4.0,0,48,48,0,1493.3333333333333,100.0,11.75,16.70484589971602,3.9992315273828645,2.873417706943109,287.34177069431087,1255.9423437342048,1862.1671557426453,37.31010008233285,54.29108040741107,4043.7847832217813,10511.6958938539,1000.0,100.0,11,22.916666666666668,0.6584915578411291,91.94936662217948,3.4892926923930645,1.2763157894736843,5.0,6.0,20.0,0.14135556361000368,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:38:18+00:00
baseline,bursty,4.0,1,48,48,0,1032.0,90.0,11.75,14.530391480773687,3.998922593281428,3.30342097551278,297.30788779615017,828.9360050112009,1468.2320803403854,15.95203686491643,36.99551125033675,2073.2630053535104,5907.038271427153,1000.0,100.0,29,60.416666666666664,1.9958168393723046,169.5756100763227,4.052945878356695,0.5939849624060151,4.0,5.0,15.0,0.07472514195964719,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:38:34+00:00
